id,pipeline_id,user_id,Status,Value,Currency,Total_activities
855,29,5Y6Xi1DHdxA6ymrCffP0dYqcmE5wHZ5t424iln15ehU=,won,950.0,SEK,2
917,28,Tj9pqthLqOsYCO8GMVdRlOjSWLloT7lNcSrO9d+w8ew=,won,3437.5,DKK,1
931,27,EH4HB7XjDKO9cw//BXJWOJdLvwuzSqk1lAvcd73fzj0=,lost,2850.0,SEK,1
1118,33,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,330.0,EUR,5
1153,28,u+7CHSxcu+xF8eLmLDPYLXjdtOK6QmDBrkFUng1YwAg=,won,3650.0,DKK,7
1172,35,9zDoz2RPM5udqMssnmjYddNXz0FLHFSmaUL8EUmqqp8=,won,200.0,EUR,2
1178,31,yiR9Qdd929h3KBeIXj5HDfzd38LDd3AzAbSiv4Wbp4k=,won,237.5,EUR,11
1197,28,u+7CHSxcu+xF8eLmLDPYLXjdtOK6QmDBrkFUng1YwAg=,lost,3437.5,DKK,2
1204,32,5YzaGZme7lhmhBA1f+xiP39a9MVsYRsIn0hRSxH9aYs=,open,780.0,PLN,5
1348,28,YiULbch7rcabR8egY4NfFmhWbrln2sKlg9mROIm8ExA=,lost,9600.0,DKK,6
1393,12,nHvLR8xnjTA9fGLY2GBnb742vSQtGJs2O+2oxdwGrkQ=,won,4250.0,DKK,16
1452,9,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,300.0,GBP,0
1466,31,yiR9Qdd929h3KBeIXj5HDfzd38LDd3AzAbSiv4Wbp4k=,won,228.0,EUR,1
1480,29,d9Rhf2pUR14q6zNjQdR+wdqeAqwnFFZtqDkk/Yqr2S0=,won,2580.0,SEK,5
1496,26,HBiOphMW6jnNyJPyZoR74FpR/7yYcM+96TZ5NGNH7EM=,won,7500.0,NOK,3
1618,26,s36JaW8hoXeOdtfokkqDez4+eZC3G55hjaWNuyOXXjo=,won,5215.0,NOK,2
1673,26,s36JaW8hoXeOdtfokkqDez4+eZC3G55hjaWNuyOXXjo=,won,4470.0,NOK,1
1934,33,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,162.0,EUR,6
2205,27,EH4HB7XjDKO9cw//BXJWOJdLvwuzSqk1lAvcd73fzj0=,open,2850.0,SEK,1
2356,26,KEwpw1mo7NXYT5Q8SgkUgdcfIOQCs+SHOWQVPrdVaxc=,lost,4710.0,NOK,4
2480,48,TJmFuPO6p/WJq6G0Cn7aaGTixYbl6ZU+WbtolxBGqcQ=,won,312.0,AUD,6
2533,48,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,lost,312.5,AUD,0
2640,67,nHvLR8xnjTA9fGLY2GBnb742vSQtGJs2O+2oxdwGrkQ=,open,3437.5,DKK,10
2642,29,5ws7dNbcfdCZbaaL3OT+R4bUDvFa9Als/7ez7/eswI4=,won,5100.0,SEK,5
2653,26,HBiOphMW6jnNyJPyZoR74FpR/7yYcM+96TZ5NGNH7EM=,won,7800.0,NOK,6
2825,32,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,680.0,PLN,5
2862,33,RcgYeo5omgH6JIc9/iOmEXXLKr4XrFPI+8a/iGwN8/I=,open,162.0,EUR,9
2938,35,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,lost,150.0,EUR,0
2958,49,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,125700.0,CLP,4
2987,29,5ws7dNbcfdCZbaaL3OT+R4bUDvFa9Als/7ez7/eswI4=,won,2850.0,SEK,4
3067,32,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,780.0,PLN,5
3076,52,TJmFuPO6p/WJq6G0Cn7aaGTixYbl6ZU+WbtolxBGqcQ=,open,265.0,NZD,4
3082,23,njhogyvcL7UJN5/g7+mMT9WyUYwNIrFM1mGs3qi/KEc=,open,3850.0,NOK,9
3109,19,n5/q3nYdIvNApN6cWG8iKqdGWDUfqtyDZTNbw8VIunE=,open,2850.0,SEK,8
3206,28,YiULbch7rcabR8egY4NfFmhWbrln2sKlg9mROIm8ExA=,lost,3750.0,DKK,9
3234,29,5Y6Xi1DHdxA6ymrCffP0dYqcmE5wHZ5t424iln15ehU=,won,2850.0,SEK,1
3252,19,EH4HB7XjDKO9cw//BXJWOJdLvwuzSqk1lAvcd73fzj0=,lost,2850.0,SEK,1
3341,32,5YzaGZme7lhmhBA1f+xiP39a9MVsYRsIn0hRSxH9aYs=,lost,780.0,PLN,1
3409,55,RcgYeo5omgH6JIc9/iOmEXXLKr4XrFPI+8a/iGwN8/I=,lost,6450.0,CZK,0
3410,31,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,330.0,EUR,0
3418,48,HlQenAtTibKni+kdvpmrk6SZxqztaKTvzs7JltZ34+8=,open,375.0,AUD,0
3487,12,nHvLR8xnjTA9fGLY2GBnb742vSQtGJs2O+2oxdwGrkQ=,lost,3437.5,DKK,8
3635,64,I5JVUgOSnIGmgsCcU77I8AFmWVzeA9CHr8rnbN7pEAk=,open,4470.0,NOK,5
3683,29,5ws7dNbcfdCZbaaL3OT+R4bUDvFa9Als/7ez7/eswI4=,won,2850.0,SEK,0
3693,32,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,780.0,PLN,0
3767,23,njhogyvcL7UJN5/g7+mMT9WyUYwNIrFM1mGs3qi/KEc=,open,2188.0,NOK,7
3797,28,ePBxMiauWQjfrSkb3hyEDbzKWQ3vV/IYn1GhpCv/8gI=,won,7150.0,DKK,0
3969,53,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,450.0,EUR,0
4008,29,5ws7dNbcfdCZbaaL3OT+R4bUDvFa9Als/7ez7/eswI4=,lost,2850.0,SEK,0
4035,33,RcgYeo5omgH6JIc9/iOmEXXLKr4XrFPI+8a/iGwN8/I=,won,162.5,EUR,10
4372,29,OhKST4+Sa4XKw9Q9owBpUo5whTSh2BTvUXFP3bOV87c=,lost,2850.0,SEK,0
4404,29,5Y6Xi1DHdxA6ymrCffP0dYqcmE5wHZ5t424iln15ehU=,won,2850.0,SEK,3
4516,26,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,won,3925.0,NOK,3
4525,23,HBiOphMW6jnNyJPyZoR74FpR/7yYcM+96TZ5NGNH7EM=,open,3850.0,NOK,12
4568,66,EH4HB7XjDKO9cw//BXJWOJdLvwuzSqk1lAvcd73fzj0=,open,2850.0,SEK,1
4609,52,e8DFZkX2wNY4SthUN/1EnBNb1hR8tEkUR/b14kqAsqE=,won,265.0,NZD,3
4620,53,iRM3+SPy0txl10y7Ig2boJyEubA/4K5k0vM54LPA4ak=,open,300.0,EUR,11
4642,9,+0T3yj3HdZ+E+nMprgVEdfRKxyO9aovAQI8rJUUyKzw=,open,450.0,GBP,4
4832,26,1DjFE5pdcDb5SRQfXWnyEAUy5SKSFH3GpSR84yb/w80=,won,1540.0,NOK,11
4838,28,u+7CHSxcu+xF8eLmLDPYLXjdtOK6QmDBrkFUng1YwAg=,won,6600.0,DKK,3
4897,49,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,125700.0,CLP,0
4987,29,nlOu78vH4eXtXC/20kcZwLoGAnfgOxVsP5EAPrsCSvU=,open,2850.0,SEK,6
34,53,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,300.0,EUR,0
172,26,s36JaW8hoXeOdtfokkqDez4+eZC3G55hjaWNuyOXXjo=,won,3725.0,NOK,4
220,27,EH4HB7XjDKO9cw//BXJWOJdLvwuzSqk1lAvcd73fzj0=,open,2850.0,SEK,6
297,67,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,3750.0,DKK,0
403,12,n5/q3nYdIvNApN6cWG8iKqdGWDUfqtyDZTNbw8VIunE=,lost,3750.0,DKK,11
491,29,d9Rhf2pUR14q6zNjQdR+wdqeAqwnFFZtqDkk/Yqr2S0=,open,2610.0,SEK,6
527,28,5L9hFFMl0lXGdvLaI7Yq1W1my1wcL/uWx2ZeRAvoYOs=,lost,4500.0,DKK,1
535,29,5YzaGZme7lhmhBA1f+xiP39a9MVsYRsIn0hRSxH9aYs=,won,2200.0,SEK,11
660,32,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,680.0,PLN,0
678,19,EH4HB7XjDKO9cw//BXJWOJdLvwuzSqk1lAvcd73fzj0=,open,2850.0,SEK,14
691,29,d9Rhf2pUR14q6zNjQdR+wdqeAqwnFFZtqDkk/Yqr2S0=,won,2850.0,SEK,3
750,29,5ws7dNbcfdCZbaaL3OT+R4bUDvFa9Als/7ez7/eswI4=,won,2850.0,SEK,1
771,26,HBiOphMW6jnNyJPyZoR74FpR/7yYcM+96TZ5NGNH7EM=,won,3850.0,NOK,5
772,26,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,3850.0,NOK,0
857,67,gnfs5ClpI8SC6e4W37VopR+4aJGrFC9LDgyKUrm+Cl8=,open,6600.0,DKK,10
874,9,uCvh2zlLY7435i4jiZGDR+fFm1bxEMnNAyDbHNDPvsA=,open,300.0,GBP,2
988,35,itCheMgg29jeRuk6nVrQjgVVJg9XbkeqMV6Q581J4JM=,won,220.0,EUR,9
1157,29,OhKST4+Sa4XKw9Q9owBpUo5whTSh2BTvUXFP3bOV87c=,won,2850.0,SEK,1
1162,35,wYa9atGpeCbXJjc9kTOIn79PqYNQ6JwfA9lmOv8wUG0=,won,187.5,EUR,1
1258,26,jSRTEbbnK4pAeb6bqz+XPU+6O6JiqqWrnw7pKc3pZqw=,won,4470.0,NOK,0
1269,28,YiULbch7rcabR8egY4NfFmhWbrln2sKlg9mROIm8ExA=,won,4500.0,DKK,3
1384,32,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,680.0,PLN,6
1398,48,TJmFuPO6p/WJq6G0Cn7aaGTixYbl6ZU+WbtolxBGqcQ=,won,525.0,AUD,11
1400,26,vGAyegcALaKI2s9xcV3mXacPyY8uZhoM1vc5yy+HetE=,won,2980.0,NOK,4
1472,28,u+7CHSxcu+xF8eLmLDPYLXjdtOK6QmDBrkFUng1YwAg=,won,2500.0,DKK,10
1476,13,u+7CHSxcu+xF8eLmLDPYLXjdtOK6QmDBrkFUng1YwAg=,won,1721.17,DKK,0
1477,29,5Y6Xi1DHdxA6ymrCffP0dYqcmE5wHZ5t424iln15ehU=,lost,2850.0,SEK,1
1579,48,e8DFZkX2wNY4SthUN/1EnBNb1hR8tEkUR/b14kqAsqE=,open,312.0,AUD,5
1605,26,s36JaW8hoXeOdtfokkqDez4+eZC3G55hjaWNuyOXXjo=,won,6250.0,NOK,4
1660,29,EH4HB7XjDKO9cw//BXJWOJdLvwuzSqk1lAvcd73fzj0=,won,2850.0,SEK,11
1776,26,jSRTEbbnK4pAeb6bqz+XPU+6O6JiqqWrnw7pKc3pZqw=,won,2880.0,NOK,1
1811,19,d9Rhf2pUR14q6zNjQdR+wdqeAqwnFFZtqDkk/Yqr2S0=,open,950.0,SEK,11
1843,29,aOg4xTHw7A33QHv5wr3tnIkw6oI8iZyxbkPkjRn7SEQ=,won,950.0,SEK,1
1852,29,nlOu78vH4eXtXC/20kcZwLoGAnfgOxVsP5EAPrsCSvU=,won,5100.0,SEK,3
1888,26,jSRTEbbnK4pAeb6bqz+XPU+6O6JiqqWrnw7pKc3pZqw=,won,1490.0,NOK,3
1908,19,EH4HB7XjDKO9cw//BXJWOJdLvwuzSqk1lAvcd73fzj0=,open,2850.0,SEK,4
2038,48,TJmFuPO6p/WJq6G0Cn7aaGTixYbl6ZU+WbtolxBGqcQ=,open,350.0,AUD,6
2050,32,5YzaGZme7lhmhBA1f+xiP39a9MVsYRsIn0hRSxH9aYs=,open,680.0,PLN,8
2068,28,u+7CHSxcu+xF8eLmLDPYLXjdtOK6QmDBrkFUng1YwAg=,won,3750.0,DKK,4
2078,28,DX8RH50BMNSrzVC9v1QXcpN3ZjRorC1FA6xAa+svI8M=,won,20312.5,DKK,3
2105,35,9zDoz2RPM5udqMssnmjYddNXz0FLHFSmaUL8EUmqqp8=,won,170.0,EUR,5
2125,9,uCvh2zlLY7435i4jiZGDR+fFm1bxEMnNAyDbHNDPvsA=,open,300.0,GBP,2
2189,12,nHvLR8xnjTA9fGLY2GBnb742vSQtGJs2O+2oxdwGrkQ=,lost,3750.0,DKK,3
2221,34,rCOpL39/uB3lLnXXHuSSOzYCZeIO9r9e42nuvzOHfek=,lost,162.0,EUR,8
2251,53,zOLuALwn9G0sAfpBDCbXKehTBFUXDgNE+4JOhznaHmM=,open,300.0,EUR,8
2271,35,9zDoz2RPM5udqMssnmjYddNXz0FLHFSmaUL8EUmqqp8=,open,170.0,EUR,4
2329,29,5Y6Xi1DHdxA6ymrCffP0dYqcmE5wHZ5t424iln15ehU=,won,3325.0,SEK,8
2335,12,n5/q3nYdIvNApN6cWG8iKqdGWDUfqtyDZTNbw8VIunE=,open,4500.0,DKK,10
2423,48,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,lost,0.0,EUR,1
2555,33,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,275.0,EUR,9
2584,55,RcgYeo5omgH6JIc9/iOmEXXLKr4XrFPI+8a/iGwN8/I=,won,3850.0,CZK,0
2623,32,5YzaGZme7lhmhBA1f+xiP39a9MVsYRsIn0hRSxH9aYs=,open,1008.0,PLN,4
2639,53,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,300.0,EUR,4
2803,26,HBiOphMW6jnNyJPyZoR74FpR/7yYcM+96TZ5NGNH7EM=,won,7800.0,NOK,5
2884,28,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,lost,3770.0,DKK,3
2914,48,TJmFuPO6p/WJq6G0Cn7aaGTixYbl6ZU+WbtolxBGqcQ=,open,480.0,AUD,8
2926,29,5ws7dNbcfdCZbaaL3OT+R4bUDvFa9Als/7ez7/eswI4=,lost,5100.0,SEK,0
3009,34,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,162.0,EUR,0
3035,28,YiULbch7rcabR8egY4NfFmhWbrln2sKlg9mROIm8ExA=,won,4400.0,DKK,4
3038,29,EH4HB7XjDKO9cw//BXJWOJdLvwuzSqk1lAvcd73fzj0=,won,3325.0,SEK,6
3119,35,9zDoz2RPM5udqMssnmjYddNXz0FLHFSmaUL8EUmqqp8=,open,150.0,EUR,5
3120,26,HBiOphMW6jnNyJPyZoR74FpR/7yYcM+96TZ5NGNH7EM=,lost,3705.0,NOK,4
3136,49,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,125700.0,CLP,0
3139,33,5Y6Xi1DHdxA6ymrCffP0dYqcmE5wHZ5t424iln15ehU=,won,162.0,EUR,2
3142,23,KEwpw1mo7NXYT5Q8SgkUgdcfIOQCs+SHOWQVPrdVaxc=,open,3300.0,NOK,7
3162,29,nlOu78vH4eXtXC/20kcZwLoGAnfgOxVsP5EAPrsCSvU=,won,2850.0,SEK,6
3207,29,nlOu78vH4eXtXC/20kcZwLoGAnfgOxVsP5EAPrsCSvU=,won,2850.0,SEK,4
3274,26,vGAyegcALaKI2s9xcV3mXacPyY8uZhoM1vc5yy+HetE=,won,3725.0,NOK,7
3582,35,wYa9atGpeCbXJjc9kTOIn79PqYNQ6JwfA9lmOv8wUG0=,won,150.0,EUR,1
3669,29,d9Rhf2pUR14q6zNjQdR+wdqeAqwnFFZtqDkk/Yqr2S0=,open,2580.0,SEK,6
3686,19,5Y6Xi1DHdxA6ymrCffP0dYqcmE5wHZ5t424iln15ehU=,lost,2850.0,SEK,9
3758,26,jSRTEbbnK4pAeb6bqz+XPU+6O6JiqqWrnw7pKc3pZqw=,lost,6250.0,NOK,1
3762,26,LQA5RoqU7CUuKI32sAq0MF4p6ju79vahkG93pZx/HpM=,won,872.0,NOK,0
3828,29,aOg4xTHw7A33QHv5wr3tnIkw6oI8iZyxbkPkjRn7SEQ=,won,2850.0,SEK,1
4174,29,ocgPNJN2mOUZv0wDaxl/9OqJixrKgxZ0of8z//3f2/s=,won,5100.0,SEK,0
4182,29,5ws7dNbcfdCZbaaL3OT+R4bUDvFa9Als/7ez7/eswI4=,lost,2850.0,SEK,1
4205,49,iRM3+SPy0txl10y7Ig2boJyEubA/4K5k0vM54LPA4ak=,open,125700.0,CLP,7
4294,29,5Y6Xi1DHdxA6ymrCffP0dYqcmE5wHZ5t424iln15ehU=,won,2850.0,SEK,4
4315,19,EH4HB7XjDKO9cw//BXJWOJdLvwuzSqk1lAvcd73fzj0=,open,2850.0,SEK,9
4322,32,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,680.0,PLN,0
4356,49,zOLuALwn9G0sAfpBDCbXKehTBFUXDgNE+4JOhznaHmM=,open,138100.0,CLP,9
4364,29,aOg4xTHw7A33QHv5wr3tnIkw6oI8iZyxbkPkjRn7SEQ=,won,2850.0,SEK,0
4503,26,HBiOphMW6jnNyJPyZoR74FpR/7yYcM+96TZ5NGNH7EM=,won,6500.0,NOK,6
4564,29,5ws7dNbcfdCZbaaL3OT+R4bUDvFa9Als/7ez7/eswI4=,won,950.0,SEK,5
4643,48,TJmFuPO6p/WJq6G0Cn7aaGTixYbl6ZU+WbtolxBGqcQ=,won,312.0,AUD,22
4775,26,HBiOphMW6jnNyJPyZoR74FpR/7yYcM+96TZ5NGNH7EM=,won,3925.0,NOK,11
4837,29,aOg4xTHw7A33QHv5wr3tnIkw6oI8iZyxbkPkjRn7SEQ=,lost,2850.0,SEK,0
4871,32,5YzaGZme7lhmhBA1f+xiP39a9MVsYRsIn0hRSxH9aYs=,open,1008.0,PLN,0
4910,57,n5/q3nYdIvNApN6cWG8iKqdGWDUfqtyDZTNbw8VIunE=,open,6600.0,DKK,14
4915,35,9zDoz2RPM5udqMssnmjYddNXz0FLHFSmaUL8EUmqqp8=,won,220.0,EUR,5
4916,28,YiULbch7rcabR8egY4NfFmhWbrln2sKlg9mROIm8ExA=,won,3750.0,DKK,4
4977,49,e8DFZkX2wNY4SthUN/1EnBNb1hR8tEkUR/b14kqAsqE=,open,125700.0,CLP,6
103,31,yiR9Qdd929h3KBeIXj5HDfzd38LDd3AzAbSiv4Wbp4k=,won,237.5,EUR,5
129,26,vGAyegcALaKI2s9xcV3mXacPyY8uZhoM1vc5yy+HetE=,lost,4470.0,NOK,0
148,28,Tj9pqthLqOsYCO8GMVdRlOjSWLloT7lNcSrO9d+w8ew=,lost,3437.5,DKK,4
258,49,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,125700.0,CLP,0
271,33,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,275.0,EUR,0
332,33,nlOu78vH4eXtXC/20kcZwLoGAnfgOxVsP5EAPrsCSvU=,won,162.0,EUR,3
466,28,YiULbch7rcabR8egY4NfFmhWbrln2sKlg9mROIm8ExA=,lost,3750.0,DKK,2
496,37,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,300.0,EUR,0
559,32,5YzaGZme7lhmhBA1f+xiP39a9MVsYRsIn0hRSxH9aYs=,won,500.0,PLN,25
578,29,5ws7dNbcfdCZbaaL3OT+R4bUDvFa9Als/7ez7/eswI4=,won,5950.0,SEK,1
629,25,nHvLR8xnjTA9fGLY2GBnb742vSQtGJs2O+2oxdwGrkQ=,open,3125.0,DKK,1
648,26,jSRTEbbnK4pAeb6bqz+XPU+6O6JiqqWrnw7pKc3pZqw=,won,3600.0,NOK,0
769,26,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,3850.0,NOK,0
792,33,8y5lWApl5qgdN65PoCgMf22vhEuqgcTK8o6avm7NNc8=,won,162.0,EUR,6
905,32,5YzaGZme7lhmhBA1f+xiP39a9MVsYRsIn0hRSxH9aYs=,open,680.0,PLN,8
918,19,n5/q3nYdIvNApN6cWG8iKqdGWDUfqtyDZTNbw8VIunE=,open,2850.0,SEK,6
942,28,7hkKUXLdkcCFZWr7FWrbIj11gQdLcsNBvqYSat5IC4Q=,won,1562.5,DKK,8
1004,55,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,6450.0,CZK,0
1138,33,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,275.0,EUR,6
1147,33,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,275.0,EUR,5
1225,35,9zDoz2RPM5udqMssnmjYddNXz0FLHFSmaUL8EUmqqp8=,won,150.0,EUR,3
1230,28,mcdG2shCJrcgA1JFg5zHMwVVt+HWyPlXIMY3Rf+Humo=,won,6050.0,DKK,0
1387,26,KEwpw1mo7NXYT5Q8SgkUgdcfIOQCs+SHOWQVPrdVaxc=,won,6750.0,NOK,4
1402,67,kuB7U5uA2Bi/VE5zR2DMEorLfbf3ZFZkJaeBRBN1prM=,open,2670.0,DKK,4
1677,29,5Y6Xi1DHdxA6ymrCffP0dYqcmE5wHZ5t424iln15ehU=,won,1320.0,SEK,4
1725,35,5YzaGZme7lhmhBA1f+xiP39a9MVsYRsIn0hRSxH9aYs=,lost,170.0,EUR,4
1733,19,n5/q3nYdIvNApN6cWG8iKqdGWDUfqtyDZTNbw8VIunE=,open,5100.0,SEK,4
1759,32,5YzaGZme7lhmhBA1f+xiP39a9MVsYRsIn0hRSxH9aYs=,won,429.3,PLN,0
1767,9,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,lost,1500.0,GBP,0
1801,26,s36JaW8hoXeOdtfokkqDez4+eZC3G55hjaWNuyOXXjo=,won,5215.0,NOK,4
1929,29,d9Rhf2pUR14q6zNjQdR+wdqeAqwnFFZtqDkk/Yqr2S0=,open,2580.0,SEK,4
1969,49,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,won,146650.0,CLP,1
2023,28,Tj9pqthLqOsYCO8GMVdRlOjSWLloT7lNcSrO9d+w8ew=,lost,6050.0,DKK,1
2033,9,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,450.0,GBP,0
2069,49,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,0.0,EUR,0
2102,48,HlQenAtTibKni+kdvpmrk6SZxqztaKTvzs7JltZ34+8=,open,312.5,AUD,0
2110,29,SekZ8Krqxz4J6E/+HbLG2zsm27sdRfXzJTrAPR2SgXE=,lost,5100.0,SEK,2
2198,50,9zDoz2RPM5udqMssnmjYddNXz0FLHFSmaUL8EUmqqp8=,won,138.0,EUR,3
2199,28,TiXDN/hlHOVuKFC/8OI0NztgFrzIH5pQjfFK+OYXBj8=,won,2500.0,DKK,12
2219,9,uCvh2zlLY7435i4jiZGDR+fFm1bxEMnNAyDbHNDPvsA=,won,300.0,GBP,3
2223,29,d9Rhf2pUR14q6zNjQdR+wdqeAqwnFFZtqDkk/Yqr2S0=,won,950.0,SEK,3
2257,33,RcgYeo5omgH6JIc9/iOmEXXLKr4XrFPI+8a/iGwN8/I=,won,162.5,EUR,6
2315,26,gnfs5ClpI8SC6e4W37VopR+4aJGrFC9LDgyKUrm+Cl8=,lost,3850.0,NOK,0
2476,26,vGAyegcALaKI2s9xcV3mXacPyY8uZhoM1vc5yy+HetE=,won,1490.0,NOK,3
2514,49,zOLuALwn9G0sAfpBDCbXKehTBFUXDgNE+4JOhznaHmM=,open,138100.0,CLP,7
2543,9,+0T3yj3HdZ+E+nMprgVEdfRKxyO9aovAQI8rJUUyKzw=,open,300.0,GBP,4
2646,53,5ykOQ/Hwc7V57x8xobyiZTNWG99cTfArh7yLZ2rK1J8=,open,300.0,EUR,5
2663,28,YiULbch7rcabR8egY4NfFmhWbrln2sKlg9mROIm8ExA=,won,3550.0,DKK,10
2667,32,itCheMgg29jeRuk6nVrQjgVVJg9XbkeqMV6Q581J4JM=,won,1008.0,PLN,5
2703,29,SekZ8Krqxz4J6E/+HbLG2zsm27sdRfXzJTrAPR2SgXE=,won,1700.0,SEK,8
